name,Stark_set,exclude,reason_exclude,,
/Set D/081a.jpg,D,0,NaN,,
/Set D/082a.jpg,D,0,NaN,,
/Set D/083a.jpg,D,0,NaN,,
/Set D/084a.jpg,D,0,NaN,,
/Set D/085a.jpg,D,0,NaN,,
/Set D/086a.jpg,D,0,NaN,,
/Set D/087a.jpg,D,0,NaN,,
/Set D/088a.jpg,D,1,word,,
/Set D/089a.jpg,D,0,NaN,,
/Set D/090a.jpg,D,0,NaN,,
/Set D/091a.jpg,D,0,NaN,,
/Set D/092a.jpg,D,1,word,,
/Set D/093a.jpg,D,0,NaN,,
/Set D/094a.jpg,D,1,animal,,
/Set D/095a.jpg,D,0,NaN,,
/Set D/096a.jpg,D,0,NaN,,
/Set D/097a.jpg,D,0,NaN,,
/Set D/098a.jpg,D,1,word,,
/Set D/099a.jpg,D,1,word,,
/Set D/100a.jpg,D,0,NaN,,
/Set D/101a.jpg,D,0,NaN,,
/Set D/102a.jpg,D,0,NaN,,
/Set D/103a.jpg,D,0,NaN,,
/Set D/104a.jpg,D,1,word,,
/Set D/105a.jpg,D,0,NaN,,
/Set D/106a.jpg,D,0,NaN,,
/Set D/107a.jpg,D,0,NaN,,
/Set D/108a.jpg,D,0,NaN,,
/Set D/109a.jpg,D,0,NaN,,
/Set D/110a.jpg,D,1,word,,
/Set D/111a.jpg,D,0,NaN,,
/Set D/112a.jpg,D,1,hard-to-understand,,
/Set D/113a.jpg,D,0,NaN,,
/Set D/114a.jpg,D,0,NaN,,
/Set D/115a.jpg,D,0,NaN,,
/Set D/116a.jpg,D,0,NaN,,
/Set D/117a.jpg,D,1,word,,
/Set D/118a.jpg,D,0,NaN,,
/Set D/119a.jpg,D,0,NaN,,
/Set D/120a.jpg,D,0,NaN,,
/Set D/121a.jpg,D,1,word,,
/Set D/122a.jpg,D,0,NaN,,
/Set D/123a.jpg,D,0,NaN,,
/Set D/124a.jpg,D,0,NaN,,
/Set D/125a.jpg,D,1,word,,
/Set D/126a.jpg,D,0,NaN,,
/Set D/127a.jpg,D,0,NaN,,
/Set D/128a.jpg,D,0,NaN,,
/Set D/129a.jpg,D,0,NaN,,
/Set D/130a.jpg,D,0,NaN,,
/Set D/131a.jpg,D,0,NaN,,
/Set D/132a.jpg,D,1,word,,
/Set D/133a.jpg,D,0,NaN,,
/Set D/134a.jpg,D,0,NaN,,
/Set D/135a.jpg,D,0,NaN,,
/Set D/136a.jpg,D,0,NaN,,
/Set D/137a.jpg,D,0,NaN,,
/Set D/138a.jpg,D,0,NaN,,
/Set D/139a.jpg,D,0,NaN,,
/Set D/140a.jpg,D,1,word,,
/Set D/141a.jpg,D,1,word,,
/Set D/142a.jpg,D,0,NaN,,
/Set D/143a.jpg,D,0,NaN,,
/Set D/144a.jpg,D,0,NaN,,
/Set D/145a.jpg,D,1,word,,
/Set D/146a.jpg,D,0,NaN,,
/Set D/147a.jpg,D,0,NaN,,
/Set D/148a.jpg,D,0,NaN,,
/Set D/149a.jpg,D,0,NaN,,
/Set D/150a.jpg,D,0,NaN,,
/Set D/151a.jpg,D,1,word,,
/Set D/152a.jpg,D,0,NaN,,
/Set D/153a.jpg,D,0,NaN,,
/Set D/154a.jpg,D,1,animal,,
/Set D/155a.jpg,D,0,NaN,,
/Set D/156a.jpg,D,0,NaN,,
/Set D/157a.jpg,D,0,NaN,,
/Set D/158a.jpg,D,0,NaN,,
/Set D/159a.jpg,D,1,word,,
/Set D/160a.jpg,D,0,NaN,,
/Set D/161a.jpg,D,0,NaN,,
/Set D/162a.jpg,D,0,NaN,,
/Set D/163a.jpg,D,1,too similar to 068a,,
/Set D/164a.jpg,D,0,NaN,,
/Set D/165a.jpg,D,0,NaN,,
/Set D/166a.jpg,D,0,NaN,,
/Set D/167a.jpg,D,0,NaN,,
/Set D/168a.jpg,D,0,NaN,,
/Set D/169a.jpg,D,1,hard-to-understand,,
/Set D/170a.jpg,D,1,word,,
/Set D/171a.jpg,D,0,NaN,,
/Set D/172a.jpg,D,0,NaN,,
/Set D/173a.jpg,D,0,NaN,,
/Set D/174a.jpg,D,0,NaN,,
/Set D/175a.jpg,D,0,NaN,,
/Set D/176a.jpg,D,0,NaN,,
/Set D/177a.jpg,D,0,NaN,,
/Set D/178a.jpg,D,0,NaN,,
/Set D/179a.jpg,D,0,NaN,,
/Set D/180a.jpg,D,0,NaN,,
/Set D/181a.jpg,D,0,NaN,,
/Set D/182a.jpg,D,0,NaN,,
/Set D/183a.jpg,D,0,NaN,,
/Set D/184a.jpg,D,0,NaN,,
/Set D/185a.jpg,D,0,NaN,,
/Set D/186a.jpg,D,1,animal,,
/Set D/187a.jpg,D,0,NaN,,
/Set D/188a.jpg,D,0,NaN,,
/Set D/189a.jpg,D,0,NaN,,
/Set D/190a.jpg,D,0,NaN,,
/Set D/191a.jpg,D,0,NaN,,
/Set D/192a.jpg,D,0,NaN,,
/Set E/001a.jpg,E,0,NaN,,
/Set E/002a.jpg,E,0,NaN,,
/Set E/003a.jpg,E,1,in-reversal-learning-task,,
/Set E/004a.jpg,E,0,NaN,,
/Set E/005a.jpg,E,0,NaN,,
/Set E/006a.jpg,E,0,NaN,,
/Set E/007a.jpg,E,1,in-reversal-learning-task,,
/Set E/008a.jpg,E,1,in-reversal-learning-task,,
/Set E/009a.jpg,E,1,in-reversal-learning-task,,
/Set E/010a.jpg,E,1,in-reversal-learning-task,,
/Set E/011a.jpg,E,0,NaN,,
/Set E/012a.jpg,E,1,in-reversal-learning-task,,
/Set E/013a.jpg,E,1,in-reversal-learning-task,,
/Set E/014a.jpg,E,1,in-reversal-learning-task,,
/Set E/015a.jpg,E,1,in-reversal-learning-task,,
/Set E/016a.jpg,E,1,in-reversal-learning-task,,
/Set E/017a.jpg,E,0,NaN,,
/Set E/018a.jpg,E,0,NaN,,
/Set E/019a.jpg,E,0,NaN,,
/Set E/020a.jpg,E,1,in-reversal-learning-task,,
/Set E/021a.jpg,E,1,in-reversal-learning-task,,
/Set E/022a.jpg,E,1,in-reversal-learning-task,,
/Set E/023a.jpg,E,0,NaN,,
/Set E/024a.jpg,E,1,word,,
/Set E/025a.jpg,E,0,NaN,,
/Set E/026a.jpg,E,1,in-reversal-learning-task,,
/Set E/027a.jpg,E,1,in-reversal-learning-task,,
/Set E/028a.jpg,E,0,NaN,,
/Set E/029a.jpg,E,1,word,,
/Set E/030a.jpg,E,1,in-reversal-learning-task,,
/Set E/031a.jpg,E,1,in-reversal-learning-task,,
/Set E/032a.jpg,E,1,in-reversal-learning-task,,
/Set E/033a.jpg,E,1,in-reversal-learning-task,,
/Set E/034a.jpg,E,1,in-reversal-learning-task,,
/Set E/035a.jpg,E,0,NaN,,
/Set E/036a.jpg,E,1,in-reversal-learning-task,,
/Set E/037a.jpg,E,1,in-reversal-learning-task,,
/Set E/038a.jpg,E,1,in-reversal-learning-task,,
/Set E/039a.jpg,E,1,in-reversal-learning-task,,
/Set E/040a.jpg,E,0,NaN,,
/Set E/041a.jpg,E,0,NaN,,
/Set E/042a.jpg,E,0,NaN,,
/Set E/043a.jpg,E,0,NaN,,
/Set E/044a.jpg,E,1,in-reversal-learning-task,,
/Set E/045a.jpg,E,0,NaN,,
/Set E/046a.jpg,E,1,hard-to-understand,,
/Set E/047a.jpg,E,0,NaN,,
/Set E/048a.jpg,E,1,in-reversal-learning-task,,
/Set E/049a.jpg,E,1,in-reversal-learning-task,,
/Set E/050a.jpg,E,1,in-reversal-learning-task,,
/Set E/051a.jpg,E,0,NaN,,
/Set E/052a.jpg,E,1,in-reversal-learning-task,,
/Set E/053a.jpg,E,0,NaN,,
/Set E/054a.jpg,E,1,in-reversal-learning-task,,
/Set E/055a.jpg,E,1,in-reversal-learning-task,,
/Set E/056a.jpg,E,0,NaN,,
/Set E/057a.jpg,E,1,in-reversal-learning-task,,
/Set E/058a.jpg,E,0,NaN,,
/Set E/059a.jpg,E,1,in-reversal-learning-task,,
/Set E/060a.jpg,E,1,in-reversal-learning-task,,
/Set E/061a.jpg,E,1,in-reversal-learning-task,,
/Set E/062a.jpg,E,0,NaN,,
/Set E/063a.jpg,E,0,NaN,,
/Set E/064a.jpg,E,0,NaN,,
/Set E/065a.jpg,E,0,NaN,,
/Set E/066a.jpg,E,0,NaN,,
/Set E/067a.jpg,E,0,NaN,,
/Set E/068a.jpg,E,0,NaN,,
/Set E/069a.jpg,E,0,NaN,,
/Set E/070a.jpg,E,0,NaN,,
/Set E/071a.jpg,E,0,NaN,,
/Set E/072a.jpg,E,0,NaN,,
/Set E/073a.jpg,E,0,NaN,,
/Set E/074a.jpg,E,1,word,,
/Set E/075a.jpg,E,0,NaN,,
/Set E/076a.jpg,E,0,NaN,,
/Set E/077a.jpg,E,0,NaN,,
/Set E/078a.jpg,E,0,NaN,,
/Set E/079a.jpg,E,0,NaN,,
